code,iso,country,TCEEZ.1950,TCEEZ.1951,TCEEZ.1952,TCEEZ.1953,TCEEZ.1954,TCEEZ.1955,TCEEZ.1956,TCEEZ.1957,TCEEZ.1958,TCEEZ.1959,TCEEZ.1960,TCEEZ.1961,TCEEZ.1962,TCEEZ.1963,TCEEZ.1964,TCEEZ.1965,TCEEZ.1966,TCEEZ.1967,TCEEZ.1968,TCEEZ.1969,TCEEZ.1970,TCEEZ.1971,TCEEZ.1972,TCEEZ.1973,TCEEZ.1974,TCEEZ.1975,TCEEZ.1976,TCEEZ.1977,TCEEZ.1978,TCEEZ.1979,TCEEZ.1980,TCEEZ.1981,TCEEZ.1982,TCEEZ.1983,TCEEZ.1984,TCEEZ.1985,TCEEZ.1986,TCEEZ.1987,TCEEZ.1988,TCEEZ.1989,TCEEZ.1990,TCEEZ.1991,TCEEZ.1992,TCEEZ.1993,TCEEZ.1994,TCEEZ.1995,TCEEZ.1996,TCEEZ.1997,TCEEZ.1998,TCEEZ.1999,TCEEZ.2000,TCEEZ.2001,TCEEZ.2002,TCEEZ.2003,TCEEZ.2004,TCEEZ.2005,TCEEZ.2006
533,ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AUS,Australia,0.354372634,0.36092804,0.424361129,0.441102883,0.59704935,0.550912748,0.528174659,0.636433234,0.711238074,0.756255904,0.672672299,0.685780879,0.759013356,0.828934238,1.005919591,1.093042862,1.093950085,1.106033552,1.822959907,1.757840975,1.043304375,0.995697342,1.087962998,0.862850459,0.97130176,1.128131288,1.141096476,1.250795775,0.965628498,1.154149751,1.057572139,1.224446291,1.686000187,1.148190096,1.220763748,1.458984942,1.61181819,1.554423019,1.522098517,1.191233304,1.284607038,1.883705383,2.031911743,1.570757551,1.518478236,1.460571893,1.404577883,1.340746541,1.165076095,0.896180248,1.07425265,1.17250241,1.081093143,1.037503808,1.063121849,1.374859419,0.981566523
40,AUT,Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,BHS,Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001215205,0.001297778,0.001314712,0.001527734,0.00158998,0.001632781,0.001868743,0.007977377,0.008479168,0.014280273,0.012458853,0.01672784,0.0192127,0.019585475,0.000403973,0.000352775,0.000447269,0.000531928,0.000818897,0.000761088,0.000833206,0.000771149,0.000870133,0.000709821,0.00085516,0.000805281,0.000425904,0.000548896,0.000661955,0.000577221,0.000849362,0.001112412,0.000792599,0.000965185,0.001059581,0.001087013,0.000764512,0.001069866,0.001061034,0.000840159,0.000994932,0.000928718,0.001090609,0.001360641
48,BHR,Bahrain,0.045025069,0.045025068,0.045025068,0.045025068,0.056281335,0.056281335,0.056281335,0.067537602,0.067537602,0.067537602,0.079141034,0.079206074,0.079252529,0.101941838,0.101706557,0.116060748,0.139642978,0.152361944,0.172328443,0.1727287,0.054532984,0.056103406,0.059727443,0.067037045,0.074283197,0.068069239,0.086006783,0.122707344,0.089522272,0.06877023,0.161366915,0.131591706,0.147515433,0.158906339,0.17335965,0.279772556,0.283517691,0.301123007,0.205345042,0.310239828,0.309673543,0.271343886,0.272007134,0.393545342,0.310563753,0.351783085,0.674905144,0.784809983,0.699134547,0.732942234,0.847075114,0.736090086,0.718950016,0.904619245,0.990458551,0.860808432,0.974607033
50,BGD,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95E-05,5.68E-08,0.000177656,7.24E-05,NA,NA,0.000103374,NA,1.34E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00615325,0.004014524,0.023785727,0.0502136,0.050579139,0.054994473,0.054635346,0.056113537,0.056556032,0.06579713,0.069000412,0.065293712,0.077879177,0.089868235,0.099487698,0.101780337,0.100667686,0.099519763,0.102530655,0.102386363,0.116998328,0.141922358,0.154292988
52,BRB,Barbados,0.00021493,0.00021493,0.000322395,0.000322395,0.000322395,0.000322395,0.00042986,0.000322395,0.000322395,0.000322395,0.000537325,0.00042986,0.00042986,0.00034905,0.000263775,0.000234878,0.000446297,0.000465073,0.000355332,0.000352962,0.00026904,0.000264216,0.000822401,0.000822734,0.000902911,0.001038565,0.001018762,0.001377064,0.002151584,0.000325945,0.000374305,0.000120812,0.000122731,0.00015452,0.00014053,0.000130281,3.04E-05,6.90E-05,1.59E-05,1.25E-05,1.11E-05,8.20E-06,9.06E-06,5.82E-06,6.21E-06,9.69E-06,4.56E-05,2.98E-05,3.58E-05,2.66E-05,2.94E-05,2.27E-05,1.40E-05,1.72E-05,7.57E-06,7.97E-06,1.59E-05
112,BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,BEL,Belgium,0.864638322,0.655958812,0.564008261,0.615970436,0.525944209,0.662212251,0.632673166,0.739114493,0.751850329,0.827478941,0.696240728,0.76424734,0.590141161,0.917290236,0.932973126,1.004502244,1.111867442,0.812885403,0.949793203,0.894073504,0.891533205,0.973916614,0.87632265,0.947691532,1.178623539,1.305751099,1.319851642,1.014962426,1.347109044,1.234051372,1.217175509,1.223631213,0.912713771,0.819575613,0.818402011,1.085063137,0.69992725,0.807428855,1.025726267,1.079201959,1.004382155,0.503641013,0.727823284,0.823801852,0.679967786,0.757560845,0.522188151,0.812161199,0.958782019,0.918023771,0.719015924,0.560503597,0.502351934,0.994812068,0.854351571,0.89554633,0.66296907
84,BLZ,Belize,0.000596875,0.000596875,0.000596875,0.00119375,0.00119375,0.00119375,0.00119375,0.000596875,0.00119375,0.001790626,0.001790626,0.000895313,0.00119375,0.00162916,0.001641808,0.000955676,0.001509704,0.009096204,0.005623342,0.008139375,0.007010867,0.008191382,0.024353349,0.023556422,0.025766168,0.023687858,0.023297247,0.035456338,0.063031501,0.074081017,0.136675458,0.189523329,0.237924548,0.21872215,0.257215773,0.231017463,0.227728232,0.235851067,0.255324912,0.301554381,0.34609613,0.42853412,0.010710442,0.007564365,0.009378432,0.007485254,0.007721252,0.012690439,0.012398187,0.007245526,0.011665659,0.013735081,0.010487213,0.013455778,0.016626057,0.014195681,0.014861575
204,BEN,Benin,0.0015988,0.001614722,0.00174177,0.00179767,0.002033226,0.002010364,0.002240035,0.002382021,0.002820679,0.00424331,0.004471161,0.00393137,0.007312425,0.004688423,0.018483163,0.019602116,0.023975306,0.0289833,0.024545852,0.028004878,0.066177637,0.113709937,0.116962411,0.095868067,0.082378466,0.065749932,0.017576267,0.016026709,0.012106144,0.007091908,0.007111519,0.00546506,0.006418991,0.00744172,0.008671799,0.026062207,0.029870737,0.032171749,0.040439067,0.065253237,0.057853185,0.054000705,0.04347159,0.040348934,0.039246427,0.035881938,0.034939414,0.036063807,0.033933941,0.033133963,0.022202755,0.024705147,0.034602507,0.038675562,0.035289302,0.031330959,0.027049518
60,BMU,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55E-05,3.97E-05,1.64E-05,1.76E-05,2.34E-05,2.21E-05,2.45E-05,0.000185444,0.000201436,0.000789776,0.00069567,0.00092353,0.001083889,0.000955649,4.67E-05,3.81E-05,9.79E-05,0.000139185,0.000107272,8.61E-05,0.000106713,4.78E-05,6.01E-05,0.000110027,0.000133714,7.97E-05,0.000107779,0.000125288,0.000153542,0.000142468,0.000180784,0.000163392,0.000207871,0.000190216,0.000144509,0.000139718,0.000172095,2.29E-05,3.19E-05,3.37E-05,3.10E-05,2.28E-05,3.49E-05,3.38E-05
64,BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,BOL,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,BIH,Bosnia and Herzegovina,0.423800481,0.644469233,0.832713267,1.018436012,1.447892724,1.754236955,1.886144843,2.093464738,5.525880122,4.899830148,4.235129804,4.217477021,4.595686855,3.463482469,6.071303549,5.114256689,4.744534261,4.250111079,3.879384743,3.213709355,12.32541429,12.10681066,13.23825956,10.49493623,11.42667238,12.80315652,13.89251227,15.18697998,10.94841104,10.42121842,11.50056625,14.8370529,20.45417125,13.83760887,14.72176236,17.7030265,19.57993257,18.86076644,18.45029511,14.39308492,12.97325957,16.90712767,20.53215036,17.75872685,17.30058685,16.35594043,17.02301998,15.85924254,11.35237013,10.68623499,10.48208036,9.810940758,8.424669184,11.45980225,11.11089112,16.60492966,7.963103418
72,BWA,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,BRA,Brazil,0.032157391,0.034410196,0.041133533,0.032590329,0.038310312,0.047867682,0.054698948,0.060538136,0.057497978,0.059011639,0.057184373,0.066380947,0.10245877,0.079298371,0.077290046,0.079864673,0.086223086,0.173445725,0.126719596,0.081019557,0.094710515,0.114598021,0.122777077,0.131194696,0.106887408,0.125206213,0.123572754,0.134633488,0.142797417,0.1595933,0.127023571,0.136134643,0.137307381,0.144468172,0.156221703,0.167984233,0.132633907,0.132754744,0.114778847,0.117573575,0.118514993,0.109157422,0.113700488,0.104469434,0.090328441,0.101452429,0.092608433,0.09677282,0.099883022,0.114236108,0.134491838,0.14928808,0.155101349,0.143611986,0.139614431,0.139864369,0.150768499
92,VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81E-05,5.50E-05,3.76E-05,3.44E-05,5.66E-05,5.12E-05,6.58E-05,0.000102567,0.000118278,0.001729626,0.001621866,0.002014224,0.001853447,0.001598292,NA,0.000288867,0.000416527,0.000301089,NA,NA,0.000226411,0.001206252,0.000165035,0.000168085,0.00038589,0.000528171,NA,NA,NA,NA,NA,8.58E-05,0.000115309,0.000144807,6.44E-05,7.28E-05,6.73E-05,2.05E-05,0.000132645,0.000255838,0.000718696,0.000340876,0.000313208,0.000313208
96,BRN,Brunei Darussalam,0.00393281,0.005899223,0.007865631,0.005899223,0.003932816,0.007875871,0.007865639,0.007865642,0.009832039,0.009832039,0.009832039,0.011798447,0.011798447,0.013786393,0.013800697,0.013764855,0.015731263,0.015731263,0.015731263,0.015731263,0.019664078,0.019664078,0.019664078,0.019664078,0.019664078,0.019664078,0.023085628,0.022535034,0.0189955,0.018120401,0.020386623,0.017991516,0.023214705,0.019623772,0.037157625,0.031333436,0.025167725,0.015848269,0.014201036,0.0171799,0.019741757,0.015562896,0.013817831,0.012271023,0.088053557,0.054719807,0.05533579,0.043264513,0.042059003,0.000521737,0.000448607,0.000360852,0.000463233,0.000731292,0.000570408,0.000585034,0.000585034
100,BGR,Bulgaria,0.002934804,0.004609502,0.006172486,0.007750126,0.010106269,0.012024009,0.013122703,0.014426076,0.037954433,0.033787713,0.029121233,0.029394211,0.032234251,0.025160111,0.043815986,0.037053655,0.034155268,0.031298869,0.028503613,0.024806827,0.010481959,0.010146308,0.005974664,0.006213431,0.012700211,0.014145196,0.013808129,0.013614279,0.015177242,0.031440997,0.016791229,0.014063599,0.012406262,0.017505428,0.020743812,0.021998972,0.022604672,0.003316456,0.005355324,0.003673488,0.00075806,0.001110513,0.000577102,0.000434885,0.000449717,0.00901243,0.006344371,0.005453327,0.004864223,0.005481634,0.002839194,0.003273562,0.00337008,0.002566306,0.001718424,0.000849707,7.51E-05
854,BFA,Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,BDI,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,KHM,Cambodia,NA,NA,NA,NA,NA,2.87E-05,2.07E-08,3.00E-08,NA,NA,5.23E-06,0.004181756,0.006272634,0.006332962,0.008463906,0.010454391,0.010454391,0.010454391,0.014636147,0.014636147,0.00209339,0.032368116,0.013550213,0.008366025,0.008366025,0.222498954,0.222499379,0.112974031,0.108950599,0.094606739,0.100225549,0.118267008,0.133176258,0.116153481,0.114040254,0.126403822,0.141661254,0.173803812,0.164069844,0.205357822,0.277613364,0.246939486,0.261416973,0.241729843,0.224135576,0.239564527,0.246630483,0.234882071,0.236404792,0.129166519,0.112369791,0.202976873,0.228237915,0.275571282,0.274313503,0.289547639,0.291493737
120,CMR,Cameroon,0.02969801,0.029817462,0.030566311,0.030874282,0.086651141,0.106795536,0.155985698,0.156851257,0.193697226,0.124561114,0.12754462,0.166392209,0.191136437,0.194110212,0.28717441,0.257636407,0.294652868,0.308626609,0.284135141,0.309855407,0.384454067,0.417514161,0.390733161,0.418378979,0.335137207,0.312005066,0.295992695,0.386603132,0.310766243,0.389007831,0.357856135,0.200324823,0.248882936,0.213831776,0.323242511,0.313016615,0.336143829,0.262148399,0.273242243,0.237171095,0.23124984,0.215819902,0.343146489,0.211787864,0.321852762,0.427709371,0.416633231,0.38817585,0.406767198,0.29439155,0.325887967,0.360107195,1.204228656,1.200581066,1.102570207,1.169539528,1.124848924
124,CAN,Canada,0.048736225,0.049334142,0.069059582,0.072984334,0.104353757,0.131600888,0.133710512,0.128075575,0.113917496,0.117960262,0.162688838,0.166405749,0.160545917,0.217571692,0.230777361,0.255044158,0.211490322,0.184750778,0.193314861,0.197099215,0.269729353,0.310684936,0.260640537,0.353695082,0.247896467,0.258302501,0.219525248,0.157874937,0.178048552,0.197608502,0.192506092,0.202976046,0.182662012,0.152559614,0.174160155,0.199852537,0.221829573,0.211875936,0.223810325,0.218212498,0.20414725,0.183396661,0.167770418,0.148119189,0.118753335,0.112707345,0.11768113,0.130913016,0.142312379,0.142509278,0.15627492,0.162066658,0.1548309,0.154136261,0.181022737,0.16723833,0.158839562
132,CPV,Cape Verde,0.000294832,0.000298472,0.000301304,0.000305916,0.000334273,0.000336069,0.000377929,0.000393781,0.000433665,0.000660151,0.000685884,0.000551277,0.001404098,0.00083148,0.004497586,0.005547749,0.0054976,0.006615017,0.005795343,0.006601202,0.001544275,0.001696711,0.000735982,0.000552126,1.33E-05,0.000174292,0.00019734,9.00E-07,9.00E-07,0.000152312,1.38E-05,0.000173938,7.05E-08,0.000192688,0.000211176,0.000291868,2.56E-05,1.93E-05,5.70E-08,5.70E-08,9.64E-07,7.57E-08,5.87E-08,5.87E-08,3.91E-06,2.04E-05,2.20E-05,0.001534744,0.001572051,0.001399907,0.001556271,0.001200346,0.001180608,0.001243454,0.001412567,0.0014576,0.001355256
136,CYM,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000259293,0.000262746,0.000238776,0.000183179,0.00022681,0.000474183,0.000471105,0.000457634,0.000577085,0.00194161,0.001897755,0.002355383,0.002304436,0.002055369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,CAF,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,TCD,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,CHL,Chile,0.009979058,0.012086398,0.016446363,0.013744673,0.015744666,0.021844394,0.019440421,0.021799335,0.020982928,0.01894918,0.018280874,0.01690737,0.021184934,0.022932191,0.023074858,0.025552707,0.028348311,0.026826508,0.034959696,0.026065571,0.02682486,0.022718061,0.028808253,0.026366335,0.021389907,0.022308907,0.021997854,0.023052108,0.028485915,0.063407434,0.061873027,0.0640092,0.061292894,0.059094144,0.062273543,0.064201813,0.072693438,0.087841054,0.110141036,0.096823961,0.094434641,0.092740028,0.095690204,0.076372359,0.065762688,0.075653768,0.080608261,0.091482285,0.082461338,0.085138891,0.079810879,0.084616928,0.068312967,0.075823624,0.115861565,0.127781602,0.244049424
156,CHN,China,0.12490914,0.157732926,0.177383094,0.177956273,0.20815757,0.186495062,0.219335564,0.211814221,0.217959234,0.248910748,0.238530993,0.261113616,0.258165498,0.228659909,0.232675042,0.250195084,0.251188245,0.249284474,0.271670856,0.271190605,0.290932678,0.312065911,0.292079213,0.297976696,0.305948878,0.328546905,0.311160838,0.320310402,0.349567124,0.4031688,0.370165461,0.278776779,0.31437535,0.34539246,0.369835215,0.402653295,0.429271594,0.582150378,0.629375471,0.512622173,0.570292648,0.663752759,0.77372214,1.075197091,1.290651568,1.356958453,1.303503597,2.053078764,2.053930044,2.049729553,2.200547916,2.276758974,1.769217251,2.139942773,1.971353967,1.973107553,1.969777408
170,COL,Colombia,0.000603433,0.000603433,0.000603433,0.000603433,0.000603433,0.000485737,0.000488253,0.000860116,0.006845096,0.01001734,0.02049999,0.025010762,0.039978116,0.036787384,0.030855944,0.031895407,0.034140485,0.025830904,0.022106145,0.00829859,0.018929705,0.018114906,0.036603609,0.047214094,0.02824255,0.031660809,0.037285684,0.052375963,0.012389884,0.010169115,0.012652351,0.02006379,0.021248579,0.015155035,0.027325216,0.040877763,0.043517458,0.046362374,0.051272954,0.05161576,0.048701951,0.031452845,0.02441785,0.010352349,0.014747551,0.013066917,0.021692425,0.017676537,0.018970028,0.019431384,0.01926263,0.014054916,0.008780179,0.013258922,0.008959742,0.004390494,0.005303159
174,COM,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34E-05,6.24E-05,6.69E-05,8.62E-05,5.26E-05,0.000347366,0.000380958,0.000480578,0.000481249,0.000422542,0.000448166,0.00052579,0.000818704,0.001044276,0.001063181,0.000756159,1.99E-05,1.99E-05,1.99E-05,2.02E-05,2.05E-05,2.08E-05,2.11E-05,2.14E-05,2.17E-05,2.20E-05,2.20E-05,2.20E-05,2.45E-05,3.33E-05,3.99E-05,4.63E-05,2.88E-05,2.72E-05,1.80E-05,1.90E-05,1.99E-05,1.93E-05,1.94E-05,2.67E-05,2.03E-05,2.18E-05,2.15E-05,2.95E-05,2.54E-05,3.73E-05,2.60E-05
