"code","iso","country","PM25EXBL.2000","PM25EXBL.2001","PM25EXBL.2002","PM25EXBL.2003","PM25EXBL.2004","PM25EXBL.2005","PM25EXBL.2006","PM25EXBL.2007","PM25EXBL.2008","PM25EXBL.2009","PM25EXBL.2010","PM25EXBL.2011","PM25EXBL.2012"
203,"CZE","Czech Republic",0.4175,0.415,0.4475,0.4775,0.4725,0.4725,0.47,0.4475,0.3325,0.3,0.315,0.37,0.365
180,"COD","Dem. Rep. Congo",0.235,0.1825,0.16,0.155,0.1675,0.195,0.1925,0.185,0.175,0.1825,0.1725,0.175,0.205
208,"DNK","Denmark",0.2,0.19,0.19,0.2325,0.2125,0.16,0.15,0.15,0.1025,0.0775,0.08,0.12,0.115
262,"DJI","Djibouti",0,0,0,0.005,0.005,0.0075,0.0075,0.0175,0.0225,0.1675,0.0525,0.0475,0.0475
212,"DMA","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",0.015,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025
218,"ECU","Ecuador",0.18,0.0375,0.0275,0.0175,0.01,0.0125,0.0275,0.03,0.0075,0.005,0.0025,0.005,0.025
818,"EGY","Egypt",0.41,0.4175,0.4075,0.425,0.425,0.425,0.4325,0.43,0.4225,0.3475,0.3225,0.37,0.425
222,"SLV","El Salvador",0.0025,0,0.0025,0.0025,0,0.01,0.0025,0.0025,0,0,0,0,0.0025
226,"GNQ","Equatorial Guinea",0.0075,0.02,0.0025,0,0,0,0.0025,0.005,0,0,0.0025,0.0025,0.005
232,"ERI","Eritrea",0.035,0.0275,0.03,0.0325,0.0325,0.04,0.0475,0.05,0.04,0.04,0.04,0.0375,0.0375
233,"EST","Estonia",0.0225,0.01,0.0175,0.02,0.0125,0,0.0025,0.0075,0.0475,0.0075,0.0075,0.0025,0.0025
231,"ETH","Ethiopia",0.015,0.0075,0.0075,0.005,0.0075,0.0075,0.0125,0.0175,0.0125,0.015,0.01,0.01,0.01
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0
246,"FIN","Finland",0.0025,0.0025,0,0,0,0,0.0025,0.005,0.0075,0,0,0,0
250,"FRA","France",0.2375,0.1975,0.1925,0.2175,0.215,0.205,0.21,0.2125,0.195,0.1725,0.1525,0.1675,0.1575
254,"GUF","French Guiana",0,0,0,0,0,0,0,0,0,0,0,0,0
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",0.12,0.075,0.02,0.01,0.0025,0.005,0.0025,0.0075,0.01,0.0025,0.0075,0.005,0.0075
270,"GMB","Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0
268,"GEO","Georgia",0.18,0.175,0.1625,0.175,0.17,0.2125,0.18,0.1975,0.1675,0.2075,0.1675,0.2225,0.16
276,"DEU","Germany",0.37,0.3375,0.355,0.4225,0.4275,0.42,0.4125,0.385,0.275,0.2575,0.2575,0.315,0.29
288,"GHA","Ghana",0.03,0.0125,0.035,0.03,0.03,0.035,0.0725,0.07,0.0275,0.0375,0.06,0.0575,0.0475
292,"GIB","Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0
300,"GRC","Greece",0.26,0.2225,0.235,0.2725,0.27,0.2625,0.25,0.245,0.22,0.195,0.1725,0.2025,0.1975
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0
312,"GLP","Guadeloupe",0,0,0,0,0,0,0,0,0,0,0,0,0
316,"GUM","Guam",0,0,0,0,0,0,0,0,0,0,0,0,0
320,"GTM","Guatemala",0.0225,0.005,0.0125,0.0175,0.0125,0.0275,0.0125,0.035,0.0175,0.015,0.005,0.01,0.0125
324,"GIN","Guinea",0.0125,0.0075,0.0375,0.0475,0.0475,0.045,0.0425,0.035,0,0,0.0025,0.0025,0
624,"GNB","Guinea-Bissau",0.0075,0,0.005,0.005,0,0,0.005,0.005,0,0,0,0,0
328,"GUY","Guyana",0.005,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0.0025
332,"HTI","Haiti",0.0075,0.0025,0,0,0,0,0.0025,0,0,0,0,0,0
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0.065,0.0175,0.0125,0.01,0.0025,0.0325,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0025
344,"HKG","Hong Kong",0.375,0.375,0.3375,0.4125,0.425,0.4775,0.48,0.485,0.48,0.4925,0.43,0.4075,0.3575
348,"HUN","Hungary",0.4925,0.4875,0.495,0.4975,0.495,0.4975,0.5,0.495,0.4175,0.39,0.3725,0.4475,0.3925
352,"ISL","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0
356,"IND","India",0.4525,0.5,0.55,0.585,0.5975,0.6225,0.6425,0.665,0.6775,0.6875,0.695,0.705,0.7075
360,"IDN","Indonesia",0.095,0.0975,0.1,0.0875,0.1,0.1075,0.15,0.14,0.13,0.1,0.09,0.105,0.1325
364,"IRN","Iran",0.1375,0.12,0.14,0.13,0.125,0.1175,0.11,0.1425,0.155,0.1575,0.14,0.155,0.1825
368,"IRQ","Iraq",0.2525,0.285,0.2825,0.23,0.2225,0.225,0.305,0.36,0.395,0.44,0.4475,0.4475,0.4575
372,"IRL","Ireland",0.0325,0.0025,0,0.005,0.005,0,0,0,0,0,0,0,0
833,"IMN","Isle of Man",0,0,0,0.02,0.02,0,0,0,0,0,0,0,0
376,"ISR","Israel",0.23,0.2275,0.2275,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.2475,0.2475,0.27
380,"ITA","Italy",0.39,0.3525,0.3625,0.37,0.3775,0.3675,0.3425,0.305,0.2325,0.225,0.2275,0.26,0.24
388,"JAM","Jamaica",0.1,0,0,0,0,0,0,0,0,0,0,0,0
392,"JPN","Japan",0.2175,0.235,0.26,0.2825,0.2625,0.265,0.265,0.2825,0.2875,0.27,0.225,0.22,0.215
400,"JOR","Jordan",0.1025,0.1825,0.12,0.105,0.1075,0.1125,0.12,0.1475,0.1625,0.23,0.2225,0.225,0.2625
398,"KAZ","Kazakhstan",0.0175,0.015,0.0075,0.0175,0.025,0.0525,0.0525,0.0425,0.025,0.0325,0.0275,0.03,0.0225
404,"KEN","Kenya",0.0025,0,0,0,0,0,0,0,0,0,0,0,0
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0
414,"KWT","Kuwait",0.17,0.2275,0.2075,0.2225,0.1925,0.19,0.285,0.295,0.3825,0.3375,0.42,0.42,0.4925
417,"KGZ","Kyrgyzstan",0.0575,0.0275,0.0375,0.0425,0.0475,0.1025,0.07,0.0725,0.0475,0.0475,0.04,0.0425,0.045
418,"LAO","Laos",0.41,0.2925,0.285,0.3,0.3575,0.4075,0.415,0.4025,0.3425,0.3775,0.3975,0.415,0.485
428,"LVA","Latvia",0.16,0.0925,0.095,0.1875,0.185,0.11,0.1475,0.1775,0.1475,0.0925,0.11,0.095,0.0425
422,"LBN","Lebanon",0.25,0.2475,0.225,0.225,0.2375,0.2425,0.25,0.2675,0.275,0.275,0.2475,0.2525,0.3225
426,"LSO","Lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0
430,"LBR","Liberia",0.0025,0,0.0075,0.0025,0,0.0025,0.005,0.005,0,0,0,0.0025,0
434,"LBY","Libya",0.065,0.055,0.1025,0.13,0.16,0.175,0.1475,0.085,0.05,0.04,0.0425,0.0825,0.06
438,"LIE","Liechtenstein",0.0925,0.305,0.3725,0.3725,0.1975,0.1975,0.2725,0.2725,0.25,0.25,0.235,0.1875,0.2625
440,"LTU","Lithuania",0.305,0.2775,0.275,0.2975,0.275,0.27,0.31,0.3125,0.21,0.195,0.2225,0.22,0.1925
442,"LUX","Luxembourg",0.495,0.44,0.3375,0.255,0.25,0.2575,0.26,0.2575,0.2275,0.2225,0.1075,0.2425,0.2425
446,"MAC","Macao",0.6125,0.3625,0.3625,0.3625,0.3625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
807,"MKD","Macedonia",0.4075,0.385,0.385,0.41,0.395,0.425,0.42,0.43,0.385,0.35,0.24,0.38,0.355
450,"MDG","Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0
454,"MWI","Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0.0025
458,"MYS","Malaysia",0.07,0.135,0.1175,0.0825,0.1175,0.15,0.2075,0.165,0.1125,0.09,0.1175,0.135,0.17
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",0,0,0,0,0,0,0,0,0,0,0,0,0
470,"MLT","Malta",0,0.0025,0.02,0.02,0.02,0.02,0,0,0,0.0025,0,0,0
584,"MHL","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
474,"MTQ","Martinique",0,0,0,0,0,0,0,0,0,0,0,0,0
478,"MRT","Mauritania",0,0,0,0,0,0,0,0,0,0,0,0,0
480,"MUS","Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0
175,"MYT","Mayotte",0,0,0,0,0,0,0,0,0,0,0,0,0
484,"MEX","Mexico",0.255,0.1725,0.21,0.215,0.2,0.2025,0.185,0.1875,0.1675,0.16,0.1475,0.1575,0.1625
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0
498,"MDA","Moldova",0.4075,0.365,0.3775,0.385,0.37,0.34,0.38,0.355,0.29,0.2525,0.2625,0.3425,0.3275
492,"MCO","Monaco",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
496,"MNG","Mongolia",0.0075,0.0025,0,0.0025,0.0025,0,0,0,0,0,0,0,0
499,"MNE","Montenegro",0.0925,0.1575,0.1775,0.175,0.2075,0.275,0.3075,0.3225,0.26,0.1875,0.1675,0.2,0.22
500,"MSR","Montserrat",0,0,0,0,0,0,0,0,0,0,0,0,0
504,"MAR","Morocco",0.045,0.0325,0.025,0.015,0.0125,0.015,0.015,0.0325,0.0125,0.0125,0.01,0.01,0.01
508,"MOZ","Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0
104,"MMR","Myanmar",0.0775,0.0975,0.0875,0.09,0.1175,0.145,0.175,0.1925,0.1825,0.2575,0.245,0.2775,0.3025
516,"NAM","Namibia",0.0925,0.0775,0.025,0.0225,0.0225,0.01,0.01,0.0075,0.0025,0,0.005,0.0075,0
520,"NRU","Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0
524,"NPL","Nepal",0.505,0.5625,0.5775,0.6125,0.62,0.6375,0.6475,0.65,0.6925,0.7075,0.7075,0.69,0.7225
528,"NLD","Netherlands",0.4475,0.3925,0.39,0.45,0.44,0.41,0.3975,0.38,0.3425,0.2875,0.315,0.3375,0.325
530,"ANT","Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,"NCL","New Caledonia",0,0,0,0,0,0,0,0,0,0,0,0,0
554,"NZL","New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0
558,"NIC","Nicaragua",0.0125,0.0025,0,0,0,0.005,0,0,0,0.0025,0.0025,0.0025,0.0025
562,"NER","Niger",0,0,0,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.01,0.0125,0.0125,0.0125
566,"NGA","Nigeria",0.0225,0.0375,0.0475,0.075,0.075,0.1125,0.125,0.1175,0.095,0.1,0.1125,0.09,0.055
570,"NIU","Niue",0,0,0,0,0,0,0,0,0,0,0,0,0
574,"NFK","Norfolk Island",0,0,0,0,0,0,0,0,0,0,0,0,0
408,"PRK","North Korea",0.39,0.39,0.4325,0.485,0.505,0.5275,0.505,0.5225,0.535,0.5325,0.475,0.465,0.4775
580,"MNP","Northern Mariana Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
578,"NOR","Norway",0.01,0.0075,0,0,0,0.0025,0,0,0,0,0,0,0
512,"OMN","Oman",0,0.015,0.015,0.02,0.02,0.0325,0.04,0.05,0.0575,0.075,0.07,0.03,0.03
586,"PAK","Pakistan",0.5575,0.585,0.655,0.695,0.695,0.715,0.725,0.73,0.7325,0.705,0.715,0.705,0.7125
585,"PLW","Palau",0,0,0,0,0,0,0,0,0,0,0,0,0
591,"PAN","Panama",0,0,0,0,0,0,0,0,0,0,0,0,0
598,"PNG","Papua New Guinea",0,0,0.0025,0,0,0,0,0,0.0025,0.0025,0,0,0.005
600,"PRY","Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0
604,"PER","Peru",0.1125,0.105,0.09,0.085,0.09,0.0975,0.1275,0.13,0.1025,0.0825,0.0775,0.0775,0.09
608,"PHL","Philippines",0.0275,0.025,0.03,0.0375,0.0275,0.055,0.04,0.0475,0.035,0.0225,0.03,0.0325,0.0375
612,"PCN","Pitcairn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,"POL","Poland",0.45,0.4475,0.4725,0.51,0.5075,0.4775,0.4725,0.47,0.38,0.3625,0.355,0.415,0.38
620,"PRT","Portugal",0.1275,0.0875,0.0775,0.08,0.0675,0.07,0.05,0.0325,0.015,0.0075,0.0075,0.0075,0.0075
630,"PRI","Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0
634,"QAT","Qatar",0.085,0.1525,0.1425,0.1375,0.1425,0.1575,0.2475,0.26,0.2975,0.32,0.3025,0.3025,0.3225
638,"REU","Reunion",0,0,0,0,0,0,0,0,0,0,0,0,0
642,"ROU","Romania",0.4275,0.425,0.455,0.4575,0.44,0.4425,0.4675,0.4625,0.3575,0.315,0.335,0.3925,0.36
643,"RUS","Russia",0.11,0.0825,0.105,0.1225,0.1375,0.155,0.2175,0.21,0.1225,0.105,0.125,0.135,0.1175
646,"RWA","Rwanda",0.3175,0.1625,0.1325,0.0425,0.035,0.09,0.105,0.0975,0.0475,0.0575,0.0475,0.0775,0.085
654,"SHN","Saint Helena",0,0,0,0,0,0,0,0,0,0,0,0,0
659,"KNA","Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,0,0
662,"LCA","Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0
666,"SPM","Saint Pierre and Miquelon",0,0,0,0,0,0,0,0,0,0,0,0,0
670,"VCT","Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0
882,"WSM","Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0
674,"SMR","San Marino",0.25,0.25,0.25,0.255,0.255,0.25,0.25,0.245,0,0,0,0,0
678,"STP","Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0
682,"SAU","Saudi Arabia",0.05,0.0675,0.0825,0.0875,0.105,0.1225,0.1275,0.15,0.185,0.1975,0.21,0.2,0.215
686,"SEN","Senegal",0,0,0,0,0,0,0,0,0,0,0,0,0
688,"SRB","Serbia",0.3675,0.3575,0.3925,0.4175,0.4,0.435,0.455,0.4525,0.3225,0.28,0.2925,0.365,0.3175
690,"SYC","Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0
694,"SLE","Sierra Leone",0.0225,0.025,0.015,0.035,0.03,0.0075,0.005,0.005,0,0,0,0,0
702,"SGP","Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0
703,"SVK","Slovakia",0.4275,0.4175,0.405,0.44,0.4275,0.4325,0.445,0.4375,0.3525,0.3275,0.3325,0.385,0.3825
705,"SVN","Slovenia",0.435,0.395,0.45,0.4575,0.475,0.4675,0.47,0.455,0.25,0.255,0.2575,0.3475,0.2925
90,"SLB","Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
706,"SOM","Somalia",0.015,0.015,0.02,0.03,0.035,0.0275,0.03,0.0275,0.03,0.03,0.0275,0.0275,0.03
710,"ZAF","South Africa",0,0,0,0,0,0,0,0,0.0125,0.03,0.0325,0.025,0.0125
410,"KOR","South Korea",0.4725,0.49,0.5075,0.5375,0.55,0.5625,0.5625,0.575,0.56,0.5375,0.51,0.5025,0.49
724,"ESP","Spain",0.135,0.115,0.1125,0.1,0.1025,0.0825,0.0625,0.04,0.0275,0.0275,0.0275,0.02,0.02
144,"LKA","Sri Lanka",0.02,0.0225,0.01,0.0025,0.0025,0,0.0175,0.04,0.045,0.06,0.08,0.075,0.0875
275,"PSE","State of Palestine",0.2525,0.2525,0.2525,0.25,0.25,0.25,0.25,0.24,0.2575,0.2575,0.2575,0.25,0.255
736,"SDN","Sudan",0.0025,0.0025,0,0,0.0025,0.005,0.005,0.005,0.0025,0.0025,0.0025,0.0025,0.0025
740,"SUR","Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"SWZ","Swaziland",0,0,0,0,0,0,0,0,0,0,0,0,0
752,"SWE","Sweden",0.0325,0.03,0.0225,0.0325,0.025,0.025,0.0375,0.0375,0.02,0.0175,0.0225,0.035,0.025
756,"CHE","Switzerland",0.2,0.245,0.275,0.3225,0.3525,0.38,0.425,0.3775,0.215,0.2025,0.225,0.26,0.3025
760,"SYR","Syria",0.35,0.3575,0.3225,0.29,0.305,0.315,0.3275,0.345,0.39,0.4225,0.41,0.395,0.4025
999,"TWN","Taiwan",0.2675,0.2775,0.2975,0.3325,0.36,0.3925,0.375,0.3575,0.3575,0.3375,0.315,0.3175,0.33
762,"TJK","Tajikistan",0.12,0.175,0.1925,0.1825,0.1525,0.1675,0.1725,0.24,0.275,0.2875,0.285,0.28,0.2875
834,"TZA","Tanzania",0.01,0,0,0,0,0,0,0.0025,0.0025,0.0025,0.005,0.005,0.0075
764,"THA","Thailand",0.3075,0.25,0.275,0.2825,0.3025,0.3225,0.3425,0.355,0.335,0.3325,0.315,0.3275,0.33
626,"TLS","Timor-Leste",0,0.0025,0,0,0,0,0,0,0,0,0,0,0
768,"TGO","Togo",0.04,0.0225,0.0425,0.0425,0.0475,0.05,0.055,0.0475,0.04,0.04,0.0425,0.04,0.03
772,"TKL","Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"TON","Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0
780,"TTO","Trinidad and Tobago",0.005,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025
788,"TUN","Tunisia",0.045,0.0375,0.1,0.0825,0.085,0.0425,0.0175,0.0125,0.0075,0.0125,0.0225,0.03,0.02
792,"TUR","Turkey",0.1925,0.175,0.1875,0.2125,0.2175,0.2225,0.235,0.235,0.2125,0.205,0.1975,0.2425,0.2275
795,"TKM","Turkmenistan",0.035,0.0325,0.0275,0.015,0.005,0.005,0.01,0.0125,0.015,0.0125,0.0125,0.02,0.0375
796,"TCA","Turks and Caicos Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
798,"TUV","Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0
800,"UGA","Uganda",0.0875,0.0325,0.025,0.035,0.05,0.05,0.0375,0.0475,0.0275,0.0225,0.0125,0.0225,0.025
804,"UKR","Ukraine",0.32,0.3275,0.3825,0.3975,0.37,0.36,0.4075,0.3875,0.2775,0.2525,0.2475,0.265,0.22
784,"ARE","United Arab Emirates",0.01,0.0175,0.0975,0.1425,0.1625,0.1575,0.1775,0.1975,0.2225,0.2475,0.2475,0.215,0.215
826,"GBR","United Kingdom",0.225,0.2175,0.2325,0.24,0.2325,0.1975,0.1325,0.125,0.1025,0.0825,0.07,0.0625,0.0525
840,"USA","United States of America",0.185,0.1725,0.185,0.1925,0.18,0.17,0.1475,0.1375,0.1175,0.0925,0.065,0.0575,0.04
850,"VIR","United States Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0
858,"URY","Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0
860,"UZB","Uzbekistan",0.155,0.1475,0.165,0.13,0.115,0.13,0.13,0.2125,0.205,0.21,0.205,0.23,0.2525
548,"VUT","Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0
862,"VEN","Venezuela",0.0625,0.02,0.0125,0.02,0.0125,0.03,0.015,0.0125,0.0075,0.005,0.0125,0.0175,0.02
704,"VNM","Viet Nam",0.3125,0.2925,0.2625,0.2725,0.28,0.3075,0.34,0.3675,0.37,0.385,0.3875,0.3875,0.375
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",0.13,0.0925,0.0775,0.105,0.1075,0.1225,0.125,0.1525,0.16,0.15,0.14,0.1375,0.1375
894,"ZMB","Zambia",0.01,0.005,0.0025,0,0.0025,0.0025,0.005,0.005,0.0125,0.015,0.015,0.0125,0.0225
716,"ZWE","Zimbabwe",0,0,0,0,0,0,0,0,0,0,0,0,0
